RAM_GB,Storage_SSD,CPU_GHz,Daily_Usage_hr,Background_Apps,Degradation_Percent
8.0,0.0,2.41,6.0,22.0,40.0
,0.0,2.72,11.0,22.0,40.0
4.0,0.0,3.63,5.0,21.0,40.0
16.0,1.0,1.72,7.0,22.0,38.77805591009274
8.0,1.0,3.51,8.0,9.0,33.84452153704324
8.0,0.0,1.64,6.0,9.0,40.0
8.0,0.0,3.61,11.0,15.0,40.0
8.0,0.0,1.63,10.0,10.0,40.0
,0.0,1.55,4.0,24.0,40.0
8.0,,3.24,8.0,10.0,34.506930907716416
,1.0,3.99,,8.0,34.13033425277214
16.0,0.0,3.74,11.0,24.0,40.0
8.0,0.0,2.94,6.0,16.0,40.0
16.0,1.0,3.79,8.0,17.0,34.460073713840295
4.0,1.0,1.51,3.0,5.0,31.080438556179452
8.0,0.0,3.94,5.0,4.0,40.0
4.0,0.0,2.73,3.0,18.0,40.0
4.0,0.0,3.31,8.0,24.0,40.0
8.0,1.0,3.55,3.0,19.0,35.15765314925298
16.0,1.0,3.3,2.0,4.0,25.002797902437468
4.0,1.0,2.84,10.0,7.0,40.0
8.0,0.0,2.69,2.0,10.0,40.0
4.0,0.0,3.6,9.0,18.0,40.0
4.0,1.0,2.01,3.0,,
4.0,1.0,3.92,9.0,4.0,34.05072116681592
4.0,0.0,3.28,4.0,10.0,40.0
16.0,1.0,2.0,7.0,1.0,31.247480484101864
4.0,1.0,3.34,4.0,23.0,37.872089377101645
4.0,0.0,2.82,8.0,18.0,40.0
4.0,1.0,3.27,11.0,5.0,40.0
16.0,0.0,,10.0,15.0,40.0
4.0,0.0,1.72,3.0,17.0,40.0
4.0,0.0,2.77,6.0,3.0,40.0
16.0,0.0,3.83,7.0,12.0,40.0
16.0,0.0,2.3,5.0,2.0,33.154891481258794
16.0,0.0,2.98,5.0,1.0,30.55685231273016
4.0,0.0,2.42,5.0,23.0,
16.0,1.0,,3.0,21.0,35.370281967950426
16.0,0.0,2.87,5.0,17.0,40.0
4.0,0.0,2.87,2.0,22.0,40.0
16.0,1.0,2.0,7.0,16.0,36.54602451498047
4.0,1.0,3.21,2.0,5.0,30.015213007237012
8.0,1.0,1.72,11.0,15.0,40.0
16.0,0.0,1.85,7.0,3.0,40.0
8.0,1.0,1.51,2.0,7.0,35.90181525436756
4.0,0.0,1.79,7.0,11.0,40.0
16.0,0.0,2.68,11.0,10.0,40.0
4.0,0.0,3.02,9.0,9.0,40.0
8.0,0.0,3.49,3.0,14.0,40.0
4.0,1.0,1.77,3.0,13.0,34.48604788694967
16.0,1.0,3.63,5.0,2.0,17.06916390701341
16.0,0.0,3.36,4.0,3.0,25.43767809852674
8.0,0.0,2.52,5.0,7.0,40.0
4.0,0.0,3.83,8.0,21.0,40.0
16.0,1.0,3.98,2.0,18.0,28.435915201860446
8.0,0.0,2.01,,3.0,40.0
16.0,0.0,2.45,4.0,10.0,39.32550550142871
16.0,1.0,3.82,11.0,22.0,39.73731492883641
4.0,1.0,3.3,8.0,7.0,33.502061727049586
16.0,0.0,1.62,11.0,9.0,40.0
4.0,1.0,3.45,3.0,17.0,
16.0,1.0,3.57,3.0,11.0,23.097814756761032
8.0,0.0,3.38,5.0,7.0,37.87918616094091
16.0,1.0,3.5,2.0,24.0,28.192248218143526
4.0,0.0,3.56,4.0,14.0,38.870443796475655
4.0,1.0,1.97,,19.0,40.0
8.0,0.0,2.09,8.0,4.0,40.0
16.0,0.0,3.08,8.0,6.0,40.0
16.0,0.0,3.77,5.0,10.0,36.95224734783108
8.0,1.0,2.29,3.0,7.0,30.90719439472051
16.0,0.0,2.97,5.0,13.0,39.09305553771253
16.0,1.0,3.21,7.0,14.0,27.13634008820958
4.0,0.0,2.63,4.0,4.0,40.0
16.0,0.0,3.28,2.0,8.0,37.05337372135395
16.0,1.0,3.75,9.0,5.0,27.615529671796637
,0.0,3.06,6.0,1.0,39.12749313818034
8.0,0.0,2.85,6.0,4.0,40.0
4.0,1.0,2.6,5.0,3.0,33.35386642827362
16.0,0.0,2.94,7.0,9.0,40.0
16.0,0.0,2.39,4.0,8.0,40.0
16.0,0.0,,10.0,1.0,40.0
4.0,0.0,2.83,6.0,6.0,40.0
4.0,1.0,1.67,4.0,9.0,39.723070605718135
8.0,1.0,2.07,2.0,7.0,30.98503549318433
4.0,0.0,2.86,11.0,4.0,40.0
16.0,1.0,2.58,7.0,13.0,35.078000284001554
16.0,0.0,2.33,3.0,17.0,39.33018543230958
4.0,1.0,3.33,4.0,2.0,27.468156627687755
16.0,0.0,3.23,2.0,5.0,29.247897294396704
16.0,0.0,1.92,10.0,12.0,40.0
4.0,0.0,3.7,9.0,21.0,40.0
4.0,0.0,2.74,3.0,8.0,39.65064581595576
16.0,0.0,3.35,9.0,6.0,40.0
16.0,0.0,2.93,10.0,8.0,40.0
16.0,1.0,3.99,2.0,18.0,33.16413691799397
8.0,0.0,3.38,6.0,3.0,40.0
8.0,1.0,3.27,9.0,22.0,36.407556427552976
8.0,0.0,3.45,3.0,12.0,40.0
4.0,1.0,1.86,5.0,3.0,38.06797278813856
8.0,1.0,2.01,8.0,22.0,40.0
4.0,1.0,3.29,4.0,6.0,32.87467781063727
4.0,0.0,2.73,6.0,2.0,40.0
8.0,0.0,3.39,9.0,23.0,40.0
8.0,1.0,1.76,11.0,12.0,40.0
8.0,0.0,2.84,4.0,2.0,35.46795363632238
16.0,1.0,2.45,5.0,6.0,27.497445565128142
8.0,0.0,2.64,10.0,17.0,40.0
16.0,1.0,3.01,,3.0,28.710465355569855
4.0,1.0,2.76,2.0,2.0,31.237788834325787
16.0,0.0,2.85,5.0,23.0,40.0
8.0,1.0,2.72,5.0,,40.0
4.0,0.0,2.52,10.0,8.0,40.0
4.0,1.0,3.43,7.0,22.0,40.0
4.0,1.0,1.53,10.0,12.0,40.0
16.0,0.0,3.0,7.0,4.0,38.33458398575449
8.0,0.0,2.91,7.0,5.0,40.0
4.0,0.0,3.29,6.0,13.0,40.0
4.0,1.0,3.0,6.0,15.0,40.0
4.0,0.0,3.57,3.0,23.0,40.0
16.0,1.0,3.9,9.0,16.0,39.74836176236627
16.0,1.0,2.36,9.0,10.0,35.904043221978554
8.0,0.0,2.07,2.0,23.0,40.0
16.0,0.0,2.56,9.0,16.0,40.0
4.0,1.0,2.22,6.0,12.0,37.267504024784586
8.0,1.0,3.04,3.0,17.0,31.954489476218477
4.0,0.0,3.78,3.0,16.0,40.0
4.0,0.0,1.85,7.0,12.0,40.0
16.0,0.0,1.75,10.0,8.0,40.0
8.0,0.0,2.14,2.0,20.0,40.0
16.0,0.0,3.32,7.0,3.0,34.596725984366294
16.0,1.0,2.98,,16.0,38.384607130616644
8.0,1.0,1.76,9.0,13.0,37.93118201210511
4.0,1.0,3.8,7.0,23.0,39.53438708519021
4.0,1.0,3.48,4.0,19.0,40.0
8.0,0.0,1.56,9.0,8.0,40.0
4.0,0.0,3.13,10.0,22.0,40.0
8.0,0.0,3.43,2.0,5.0,29.650069373251156
8.0,1.0,2.44,10.0,20.0,40.0
16.0,1.0,1.67,7.0,8.0,32.44415917741507
,0.0,1.69,7.0,24.0,40.0
16.0,0.0,1.76,5.0,12.0,40.0
4.0,1.0,3.6,2.0,1.0,29.51189318197467
4.0,1.0,3.78,11.0,21.0,40.0
4.0,0.0,1.81,9.0,,40.0
4.0,0.0,2.09,3.0,6.0,39.048295599404724
16.0,1.0,1.91,2.0,22.0,30.1547077224526
4.0,0.0,1.97,3.0,18.0,40.0
8.0,0.0,3.59,2.0,8.0,37.366006210649154
8.0,0.0,2.33,2.0,7.0,40.0
8.0,1.0,2.28,10.0,1.0,40.0
16.0,1.0,2.07,2.0,21.0,27.268826604272554
4.0,1.0,3.02,5.0,16.0,39.100236125325324
4.0,1.0,2.45,11.0,12.0,40.0
4.0,1.0,3.36,7.0,6.0,37.046697894100355
16.0,1.0,2.01,8.0,20.0,38.76426399677969
8.0,1.0,3.47,3.0,2.0,25.74196828259252
8.0,0.0,3.01,7.0,14.0,40.0
4.0,0.0,1.79,8.0,4.0,40.0
8.0,0.0,2.54,11.0,1.0,40.0
8.0,0.0,3.66,11.0,23.0,40.0
16.0,0.0,3.81,3.0,18.0,36.59631841777434
16.0,0.0,2.66,3.0,13.0,37.12792528540906
16.0,,2.7,11.0,2.0,40.0
16.0,1.0,3.8,8.0,9.0,27.921979148902068
4.0,1.0,2.97,2.0,21.0,40.0
16.0,0.0,1.58,9.0,2.0,40.0
8.0,0.0,3.78,4.0,9.0,40.0
4.0,1.0,2.12,7.0,1.0,35.76256690752811
8.0,0.0,2.94,10.0,11.0,40.0
8.0,0.0,1.91,7.0,3.0,40.0
8.0,1.0,1.58,10.0,20.0,40.0
16.0,0.0,2.28,8.0,23.0,
16.0,1.0,3.45,10.0,4.0,32.77607289809983
4.0,0.0,2.19,3.0,18.0,
4.0,1.0,2.05,9.0,23.0,40.0
16.0,1.0,2.03,9.0,6.0,29.96380505221096
8.0,1.0,2.79,3.0,3.0,24.492525131951112
4.0,0.0,3.94,5.0,22.0,40.0
16.0,1.0,2.65,8.0,11.0,35.99642169045535
16.0,0.0,2.89,5.0,15.0,38.39106348643773
16.0,0.0,3.65,5.0,22.0,40.0
8.0,0.0,2.84,7.0,5.0,40.0
16.0,0.0,1.96,11.0,20.0,40.0
16.0,1.0,2.25,7.0,10.0,28.028128373716875
,1.0,2.27,11.0,12.0,39.14468904031997
16.0,0.0,2.49,4.0,15.0,39.524896569309334
4.0,0.0,2.57,10.0,17.0,40.0
4.0,1.0,3.5,11.0,10.0,40.0
16.0,0.0,2.37,3.0,6.0,37.124420349627705
8.0,1.0,2.67,7.0,18.0,40.0
4.0,0.0,3.06,8.0,13.0,40.0
16.0,,2.44,10.0,3.0,40.0
4.0,1.0,3.59,4.0,24.0,34.75126625764648
4.0,0.0,2.97,11.0,10.0,40.0
8.0,1.0,2.24,4.0,14.0,37.17599181244194
16.0,0.0,3.29,8.0,6.0,38.58899286026112
16.0,0.0,2.82,5.0,3.0,37.85935095014017
8.0,0.0,2.84,9.0,16.0,40.0
8.0,1.0,2.7,8.0,7.0,33.67361566543267
16.0,0.0,2.74,6.0,20.0,40.0
16.0,,3.41,8.0,14.0,40.0
8.0,0.0,1.76,4.0,9.0,40.0
4.0,0.0,2.34,3.0,15.0,40.0
4.0,1.0,1.69,7.0,21.0,40.0
8.0,1.0,3.38,3.0,3.0,27.638185797390555
4.0,0.0,2.18,4.0,2.0,39.65690088296138
8.0,1.0,3.74,7.0,2.0,29.343028260782905
4.0,0.0,2.82,6.0,3.0,40.0
4.0,0.0,3.5,9.0,18.0,40.0
16.0,0.0,3.95,10.0,14.0,40.0
16.0,1.0,3.6,4.0,20.0,32.26020889890015
4.0,1.0,3.67,11.0,18.0,40.0
4.0,1.0,,4.0,10.0,32.97759626967534
16.0,1.0,2.88,4.0,2.0,26.61777167499952
16.0,1.0,2.13,7.0,,40.0
16.0,1.0,1.99,2.0,1.0,18.237327291737802
8.0,1.0,2.76,8.0,4.0,29.795907500697705
4.0,1.0,2.99,2.0,14.0,31.703108841647804
16.0,1.0,2.35,6.0,1.0,23.03698051240449
4.0,0.0,2.92,11.0,14.0,40.0
8.0,1.0,3.72,9.0,16.0,36.31878602575241
8.0,1.0,2.89,5.0,22.0,38.92683084078724
16.0,1.0,3.3,6.0,14.0,35.83512812779437
8.0,1.0,3.51,5.0,20.0,36.83186928933145
4.0,1.0,3.97,5.0,3.0,28.651106635294212
16.0,1.0,3.01,9.0,3.0,31.44472794335603
4.0,1.0,3.52,3.0,9.0,28.970740621232192
4.0,1.0,3.91,2.0,6.0,30.110242928187997
8.0,1.0,3.86,4.0,13.0,33.065638859372335
8.0,1.0,1.85,,21.0,40.0
8.0,1.0,2.52,5.0,2.0,30.42294749490076
8.0,0.0,2.31,11.0,8.0,40.0
8.0,0.0,1.72,6.0,21.0,40.0
16.0,1.0,3.08,3.0,2.0,29.038579893484005
4.0,1.0,3.34,5.0,4.0,32.916090579877356
4.0,0.0,3.62,3.0,15.0,39.44492567198793
4.0,1.0,1.81,3.0,4.0,31.19347889140848
4.0,0.0,3.69,5.0,13.0,40.0
8.0,0.0,3.11,7.0,12.0,40.0
4.0,0.0,3.26,8.0,13.0,40.0
16.0,0.0,3.78,11.0,14.0,40.0
16.0,0.0,3.06,4.0,20.0,40.0
4.0,1.0,2.34,4.0,18.0,39.566252688705646
4.0,,3.56,11.0,6.0,
16.0,1.0,2.41,7.0,11.0,29.2605206922724
16.0,1.0,1.59,4.0,2.0,30.335896144123364
8.0,0.0,3.58,3.0,23.0,40.0
16.0,0.0,2.36,9.0,19.0,40.0
8.0,1.0,3.43,6.0,19.0,32.76364333432835
8.0,0.0,2.41,2.0,5.0,40.0
8.0,0.0,3.65,4.0,19.0,40.0
8.0,1.0,2.05,11.0,2.0,40.0
8.0,1.0,3.94,9.0,10.0,38.49793029308033
4.0,0.0,3.45,5.0,2.0,37.67557443677819
16.0,1.0,1.79,8.0,11.0,33.37358490860559
8.0,0.0,2.91,11.0,18.0,40.0
16.0,0.0,3.96,3.0,24.0,40.0
16.0,0.0,2.68,8.0,15.0,40.0
8.0,1.0,1.96,6.0,9.0,35.86316506542971
4.0,1.0,2.71,6.0,23.0,40.0
8.0,1.0,2.78,7.0,19.0,40.0
4.0,1.0,3.35,10.0,9.0,39.57252913544521
16.0,1.0,3.25,7.0,3.0,30.026523941534524
4.0,0.0,2.51,9.0,,
4.0,0.0,2.05,8.0,9.0,40.0
4.0,0.0,3.11,10.0,14.0,40.0
16.0,0.0,2.55,5.0,19.0,40.0
16.0,1.0,1.83,3.0,7.0,27.20739855441802
4.0,0.0,3.75,8.0,16.0,40.0
4.0,1.0,3.23,7.0,16.0,40.0
8.0,0.0,3.21,2.0,1.0,38.0789760275757
4.0,1.0,3.56,10.0,4.0,34.44553096679943
8.0,1.0,2.82,10.0,4.0,37.526160369153324
4.0,0.0,3.54,3.0,7.0,40.0
8.0,0.0,2.75,4.0,8.0,39.27733878106441
16.0,0.0,1.67,6.0,17.0,40.0
4.0,0.0,2.51,6.0,5.0,39.430066377343614
4.0,1.0,2.74,2.0,7.0,33.140573085377206
4.0,0.0,3.3,9.0,20.0,40.0
4.0,0.0,1.77,9.0,20.0,40.0
8.0,1.0,1.85,5.0,4.0,32.91814855363854
4.0,0.0,2.16,8.0,6.0,40.0
16.0,0.0,2.17,11.0,7.0,40.0
16.0,0.0,3.33,4.0,18.0,36.89514216785068
4.0,0.0,2.13,7.0,5.0,38.86056144697477
16.0,0.0,3.08,11.0,20.0,40.0
4.0,1.0,2.74,11.0,3.0,40.0
4.0,0.0,2.93,10.0,7.0,40.0
16.0,0.0,3.6,2.0,22.0,32.305704349740274
4.0,0.0,2.51,6.0,14.0,40.0
16.0,0.0,3.43,5.0,7.0,40.0
8.0,0.0,2.56,9.0,5.0,40.0
4.0,1.0,2.38,2.0,22.0,39.50619718415988
8.0,0.0,3.9,10.0,5.0,40.0
16.0,1.0,1.96,7.0,23.0,34.597228308469816
8.0,1.0,1.73,,2.0,27.18786424676957
8.0,0.0,3.43,10.0,21.0,40.0
16.0,0.0,1.67,6.0,22.0,40.0
8.0,0.0,3.59,6.0,6.0,40.0
8.0,0.0,2.59,6.0,,40.0
16.0,1.0,3.79,2.0,21.0,27.574486504248938
8.0,0.0,3.3,2.0,10.0,40.0
16.0,0.0,3.03,9.0,23.0,40.0
8.0,0.0,,9.0,24.0,40.0
16.0,0.0,2.49,7.0,7.0,40.0
16.0,0.0,3.89,5.0,5.0,33.41250897723546
8.0,0.0,1.84,3.0,1.0,38.62788218164667
8.0,1.0,2.71,3.0,13.0,31.7993834735273
8.0,1.0,2.17,10.0,21.0,40.0
4.0,0.0,2.85,6.0,18.0,40.0
4.0,0.0,1.91,5.0,13.0,40.0
4.0,0.0,3.6,11.0,21.0,40.0
16.0,1.0,3.62,2.0,21.0,26.28945138526751
8.0,0.0,,8.0,18.0,40.0
16.0,1.0,1.89,4.0,5.0,28.564816679208175
4.0,0.0,3.06,7.0,13.0,40.0
8.0,0.0,2.69,6.0,4.0,40.0
,0.0,2.36,6.0,17.0,40.0
8.0,0.0,2.38,6.0,3.0,40.0
16.0,1.0,2.53,2.0,17.0,31.903589981561055
,1.0,3.26,2.0,11.0,30.63899656779421
4.0,0.0,3.0,4.0,21.0,40.0
4.0,0.0,2.65,11.0,20.0,40.0
8.0,1.0,1.69,5.0,23.0,40.0
16.0,1.0,1.69,6.0,21.0,40.0
4.0,1.0,1.51,3.0,4.0,30.569249934821286
4.0,1.0,3.92,9.0,2.0,34.76222094706639
4.0,0.0,1.51,3.0,20.0,40.0
8.0,1.0,1.76,10.0,16.0,40.0
8.0,0.0,2.29,3.0,18.0,40.0
16.0,1.0,,10.0,8.0,35.53364931839429
16.0,1.0,3.91,8.0,3.0,30.68344156025296
16.0,1.0,3.48,9.0,9.0,29.902785003030704
8.0,1.0,3.23,3.0,20.0,40.0
8.0,1.0,2.8,8.0,6.0,
,0.0,1.72,7.0,10.0,40.0
16.0,0.0,3.9,5.0,21.0,40.0
8.0,1.0,3.4,8.0,10.0,35.96672667999449
16.0,1.0,3.1,5.0,13.0,37.940499844345936
4.0,0.0,3.4,3.0,17.0,40.0
8.0,1.0,3.31,11.0,9.0,38.12796322181418
16.0,1.0,3.09,8.0,17.0,39.91443642219339
8.0,0.0,3.95,9.0,24.0,40.0
4.0,1.0,3.76,3.0,9.0,34.426296762875666
8.0,1.0,3.12,6.0,9.0,33.81060814702334
8.0,0.0,3.23,2.0,1.0,35.390827851036484
8.0,0.0,1.63,8.0,2.0,40.0
8.0,0.0,3.17,9.0,16.0,40.0
4.0,1.0,1.61,7.0,1.0,35.37136886772502
8.0,0.0,2.97,6.0,10.0,40.0
8.0,0.0,4.0,7.0,18.0,40.0
16.0,0.0,2.89,3.0,8.0,34.109562362150896
8.0,0.0,2.68,2.0,21.0,40.0
16.0,0.0,,8.0,11.0,40.0
4.0,0.0,1.8,8.0,23.0,40.0
4.0,1.0,3.33,11.0,2.0,37.03423113756776
4.0,1.0,1.98,11.0,8.0,40.0
4.0,,1.79,3.0,22.0,40.0
16.0,0.0,2.55,3.0,8.0,39.750818239490556
8.0,0.0,3.49,2.0,17.0,40.0
4.0,1.0,3.36,11.0,15.0,40.0
8.0,1.0,1.64,9.0,17.0,40.0
16.0,1.0,2.64,9.0,23.0,40.0
16.0,1.0,2.81,2.0,24.0,31.094343009357715
16.0,1.0,3.11,9.0,13.0,31.094184341213307
4.0,1.0,3.13,10.0,19.0,40.0
8.0,1.0,2.41,5.0,5.0,27.54441194987026
8.0,1.0,2.9,2.0,12.0,29.52293230843264
8.0,1.0,2.7,2.0,1.0,26.19638553557601
16.0,0.0,3.71,4.0,23.0,40.0
4.0,0.0,2.83,6.0,5.0,40.0
16.0,0.0,,6.0,8.0,40.0
16.0,0.0,2.51,10.0,13.0,40.0
8.0,1.0,2.93,11.0,8.0,35.53931658542845
16.0,1.0,3.51,3.0,23.0,32.21277815821099
8.0,0.0,2.85,3.0,11.0,40.0
4.0,1.0,3.15,7.0,1.0,32.988233774826796
8.0,0.0,3.34,10.0,13.0,40.0
4.0,1.0,2.8,2.0,19.0,29.952240013587023
8.0,0.0,2.57,10.0,24.0,40.0
16.0,1.0,3.69,10.0,3.0,28.625196350698953
16.0,1.0,2.54,10.0,24.0,40.0
4.0,0.0,2.65,6.0,17.0,40.0
4.0,1.0,3.98,10.0,5.0,36.86148068334673
4.0,0.0,1.5,5.0,20.0,40.0
8.0,0.0,1.96,3.0,21.0,40.0
8.0,0.0,2.46,7.0,8.0,40.0
4.0,0.0,3.83,5.0,14.0,40.0
16.0,1.0,1.68,7.0,4.0,31.465583165622498
8.0,1.0,1.52,4.0,11.0,31.91575687802533
8.0,1.0,1.63,7.0,20.0,40.0
8.0,0.0,1.72,3.0,,40.0
4.0,1.0,1.59,3.0,19.0,39.44810772439729
4.0,0.0,2.7,10.0,7.0,40.0
4.0,1.0,2.95,8.0,19.0,40.0
4.0,1.0,2.18,,19.0,35.11792102899226
4.0,1.0,2.5,2.0,11.0,30.20063641164748
16.0,0.0,1.73,9.0,5.0,40.0
16.0,1.0,2.34,7.0,5.0,26.68401073158625
4.0,,2.81,8.0,22.0,40.0
8.0,0.0,3.33,10.0,8.0,40.0
4.0,1.0,1.51,,10.0,34.96873006484225
16.0,0.0,2.67,2.0,6.0,29.700504561237167
16.0,1.0,2.24,11.0,15.0,32.3486352933522
8.0,0.0,3.63,8.0,16.0,40.0
16.0,0.0,3.29,6.0,17.0,40.0
4.0,1.0,2.97,4.0,8.0,33.32856346882263
8.0,0.0,2.19,10.0,8.0,40.0
4.0,0.0,3.78,2.0,9.0,37.006243561997856
4.0,0.0,1.61,2.0,2.0,40.0
8.0,0.0,1.77,2.0,15.0,40.0
4.0,0.0,,4.0,18.0,40.0
16.0,0.0,1.81,7.0,3.0,40.0
4.0,1.0,3.89,11.0,17.0,40.0
8.0,0.0,3.49,4.0,4.0,36.34768361053135
8.0,0.0,2.15,9.0,4.0,40.0
8.0,1.0,2.97,11.0,14.0,40.0
4.0,1.0,3.96,3.0,9.0,27.599817434630776
8.0,1.0,3.71,10.0,9.0,38.75052353565876
8.0,1.0,3.0,4.0,23.0,40.0
4.0,1.0,3.76,6.0,18.0,38.93606085666343
16.0,1.0,3.97,11.0,10.0,36.16472341234117
4.0,1.0,3.36,9.0,21.0,40.0
8.0,0.0,1.66,3.0,4.0,36.55515134061192
8.0,0.0,2.5,7.0,12.0,40.0
4.0,1.0,3.59,6.0,8.0,34.99319991536374
16.0,0.0,2.08,11.0,2.0,40.0
8.0,0.0,3.58,10.0,22.0,40.0
8.0,0.0,1.8,6.0,13.0,40.0
8.0,1.0,1.62,3.0,21.0,36.15374120244477
,1.0,2.46,6.0,16.0,40.0
8.0,0.0,1.59,5.0,,40.0
16.0,1.0,3.89,8.0,,29.416970682492966
